Motor1, Motor2, Motor3, Motor4, Roll, Pitch, Input1, Input2, Input3, Input4, KPR, KIR, KDR, KPP, KIP, KDP
5.40, 5.40, 5.40, 5.40, -22.875000, -13.437500, 0.000000, 0.000000, 0.000000, 0.000000, 0.02000000, 0.00020000, 0.05000000, 0.02000000, 0.00020000, 0.05000000
5.40, 5.40, 5.40, 5.40, -23.375000, -14.937500, 0.000000, 0.000000, 0.000000, 0.000000, 0.02000000, 0.00020000, 0.05000000, 0.02000000, 0.00020000, 0.05000000
5.40, 5.40, 5.40, 5.40, -23.875000, -16.937500, 0.000000, 0.000000, 0.000000, 0.000000, 0.02000000, 0.00020000, 0.05000000, 0.02000000, 0.00020000, 0.05000000
5.40, 5.40, 5.40, 5.40, -24.500000, -19.375000, 0.000000, 0.000000, 0.000000, 0.000000, 0.02000000, 0.00020000, 0.05000000, 0.02000000, 0.00020000, 0.05000000
5.40, 5.40, 5.40, 5.40, -25.187500, -23.062500, 0.000000, 0.000000, 0.000000, 0.000000, 0.02000000, 0.00020000, 0.05000000, 0.02000000, 0.00020000, 0.05000000
5.40, 5.40, 5.40, 5.40, -26.000000, -27.562500, 0.000000, 0.000000, 0.000000, 0.000000, 0.02000000, 0.00020000, 0.05000000, 0.02000000, 0.00020000, 0.05000000
5.40, 5.40, 5.40, 5.40, -26.625000, -33.812500, 0.000000, 0.000000, 0.000000, 0.000000, 0.02000000, 0.00020000, 0.05000000, 0.02000000, 0.00020000, 0.05000000
5.40, 5.40, 5.40, 5.40, -26.562500, -36.375000, 0.000000, 0.000000, 0.000000, 0.000000, 0.02000000, 0.00020000, 0.05000000, 0.02000000, 0.00020000, 0.05000000
5.40, 5.40, 5.40, 5.40, -26.625000, -35.812500, 0.000000, 0.000000, 0.000000, 0.000000, 0.02000000, 0.00020000, 0.05000000, 0.02000000, 0.00020000, 0.05000000
5.40, 5.40, 5.40, 5.40, -26.625000, -35.812500, 0.000000, 0.000000, 0.000000, 0.000000, 0.02000000, 0.00020000, 0.05000000, 0.02000000, 0.00020000, 0.05000000
5.40, 5.40, 5.40, 5.40, -26.687500, -35.812500, 0.000000, 0.000000, 0.000000, 0.000000, 0.02000000, 0.00020000, 0.05000000, 0.02000000, 0.00020000, 0.05000000
5.40, 5.40, 5.40, 5.40, -26.750000, -35.750000, 0.000000, 0.000000, 0.000000, 0.000000, 0.02000000, 0.00020000, 0.05000000, 0.02000000, 0.00020000, 0.05000000
5.40, 5.48, 5.95, 5.89, -26.687500, -35.812500, 11.000000, 0.539574, 0.723976, 0.000000, 0.02000000, 0.00020000, 0.05000000, 0.02000000, 0.00020000, 0.05000000
5.40, 5.48, 5.95, 5.89, -26.625000, -35.562500, 11.000000, 0.545372, 0.728384, 0.000000, 0.02000000, 0.00020000, 0.05000000, 0.02000000, 0.00020000, 0.05000000
5.40, 5.48, 5.95, 5.90, -26.500000, -34.875000, 11.000000, 0.549569, 0.723511, 0.000000, 0.02000000, 0.00020000, 0.05000000, 0.02000000, 0.00020000, 0.05000000
5.41, 5.48, 5.94, 5.90, -26.187500, -33.500000, 11.000000, 0.550117, 0.704818, 0.000000, 0.02000000, 0.00020000, 0.05000000, 0.02000000, 0.00020000, 0.05000000
5.42, 5.48, 5.94, 5.89, -25.375000, -31.625000, 11.000000, 0.540515, 0.675717, 0.000000, 0.02000000, 0.00020000, 0.05000000, 0.02000000, 0.00020000, 0.05000000
5.43, 5.49, 5.93, 5.89, -24.000000, -29.625000, 11.000000, 0.519321, 0.643526, 0.000000, 0.02000000, 0.00020000, 0.05000000, 0.02000000, 0.00020000, 0.05000000
5.45, 5.50, 5.91, 5.88, -22.312500, -27.250000, 11.000000, 0.491681, 0.603523, 0.000000, 0.02000000, 0.00020000, 0.05000000, 0.02000000, 0.00020000, 0.05000000
6.04, 5.87, 5.40, 5.51, -20.125000, -24.187500, 11.000000, -0.484272, -1.013788, 0.000000, 0.02000000, 0.00020000, 0.05000000, 0.02000000, 0.00020000, 0.05000000
5.52, 5.54, 5.87, 5.85, -17.250000, -19.687500, 11.000000, 0.400594, 0.464119, 0.000000, 0.02000000, 0.00020000, 0.05000000, 0.02000000, 0.00020000, 0.05000000
5.58, 5.58, 5.82, 5.82, -12.812500, -12.312500, 11.000000, 0.315336, 0.320096, 0.000000, 0.02000000, 0.00020000, 0.05000000, 0.02000000, 0.00020000, 0.05000000
5.66, 5.63, 5.75, 5.77, -6.562500, -2.250000, 11.000000, 0.192465, 0.120349, 0.000000, 0.02000000, 0.00020000, 0.05000000, 0.02000000, 0.00020000, 0.05000000
5.76, 5.69, 5.65, 5.72, 1.562500, 11.062500, 11.000000, 0.030472, -0.147034, 0.000000, 0.02000000, 0.00020000, 0.05000000, 0.02000000, 0.00020000, 0.05000000
5.87, 5.77, 5.51, 5.64, 11.625000, 27.562500, 11.000000, -0.172502, -0.481860, 0.000000, 0.02000000, 0.00020000, 0.05000000, 0.02000000, 0.00020000, 0.05000000
5.88, 5.85, 5.51, 5.54, 22.937500, 27.625000, 11.000000, -0.402995, -0.490475, 0.000000, 0.02000000, 0.00020000, 0.05000000, 0.02000000, 0.00020000, 0.05000000
