Motor1, Motor2, Motor3, Motor4, Roll, Pitch, Input1, Input2, Input3, Input4, KPR, KIR, KDR, KPP, KIP, KDP
5.00, 5.00, 5.00, 5.00, 6.312500, 19.812500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.00, 5.00, 5.00, 5.00, 6.312500, 19.812500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.00, 5.00, 5.00, 5.00, 6.312500, 19.812500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.00, 5.00, 5.00, 5.00, 6.312500, 19.812500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.00, 5.00, 5.00, 5.00, 6.312500, 19.812500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.00, 5.00, 5.00, 5.00, 6.312500, 19.812500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.00, 5.00, 5.00, 5.00, 6.312500, 19.812500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.00, 5.00, 5.00, 5.00, 6.312500, 19.812500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.00, 5.00, 5.00, 5.00, 6.312500, 19.812500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.40, 5.40, 5.40, 5.40, 6.312500, 19.812500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.40, 5.40, 5.40, 5.40, 6.312500, 19.812500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.40, 5.40, 5.40, 5.40, 6.312500, 19.812500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.40, 5.40, 5.40, 5.40, 6.312500, 19.875000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.40, 5.40, 5.40, 5.40, 6.312500, 19.875000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.40, 5.40, 5.40, 5.40, 6.312500, 19.937500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.40, 5.40, 5.40, 5.40, 6.312500, 20.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.40, 5.40, 5.40, 5.40, 6.375000, 20.062500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.40, 5.40, 5.40, 5.40, 6.375000, 20.187500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.40, 5.40, 5.40, 5.40, 6.500000, 20.375000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.40, 5.40, 5.40, 5.40, 6.750000, 21.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.40, 5.40, 5.40, 5.40, 7.125000, 21.625000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.40, 5.40, 5.40, 5.40, 7.500000, 22.375000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.40, 5.40, 5.40, 5.40, 7.750000, 22.687500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.40, 5.40, 5.40, 5.40, 7.875000, 22.875000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.87, 5.76, 5.52, 5.65, 8.000000, 22.937500, 11.000000, -0.140050, -0.461111, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.87, 5.76, 5.52, 5.65, 8.312500, 23.000000, 11.000000, -0.147558, -0.465301, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.87, 5.76, 5.51, 5.64, 9.062500, 23.187500, 11.000000, -0.162730, -0.471963, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.87, 5.77, 5.51, 5.64, 9.750000, 23.250000, 11.000000, -0.177028, -0.476183, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.87, 5.77, 5.51, 5.63, 10.375000, 23.312500, 11.000000, -0.190368, -0.480343, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.89, 5.78, 5.48, 5.63, 10.875000, 23.375000, 11.000000, -0.201711, -0.547031, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.88, 5.78, 5.51, 5.62, 11.062500, 23.375000, 11.000000, -0.207751, -0.487494, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.88, 5.78, 5.51, 5.62, 11.062500, 23.312500, 11.000000, -0.210509, -0.489137, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.88, 5.78, 5.51, 5.62, 11.062500, 23.250000, 11.000000, -0.213330, -0.490841, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.88, 5.78, 5.51, 5.62, 10.875000, 23.125000, 11.000000, -0.212609, -0.491010, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.88, 5.78, 5.51, 5.63, 10.375000, 22.875000, 11.000000, -0.206655, -0.488931, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.87, 5.78, 5.51, 5.63, 9.687500, 22.562500, 11.000000, -0.197294, -0.485542, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.87, 5.77, 5.51, 5.64, 8.562500, 22.187500, 11.000000, -0.180141, -0.480884, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
5.87, 5.76, 5.51, 5.65, 7.062500, 21.687500, 11.000000, -0.156182, -0.473693, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.02000000, 0.00010000, 0.01000000
