Motor1, Motor2, Motor3, Motor4, Roll, Pitch, Input1, Input2, Input3, Input4, KPR, KIR, KDR, KPP, KIP, KDP
5.00, 5.00, 5.00, 5.00, -0.687500, 4.375000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01800000, 0.00010000, 0.07000000, 0.01900000, 0.00020000, 0.07000000
5.00, 5.00, 5.00, 5.00, -0.687500, 4.375000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01800000, 0.00010000, 0.07000000, 0.01900000, 0.00020000, 0.07000000
5.00, 5.00, 5.00, 5.00, -0.687500, 4.375000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01800000, 0.00010000, 0.07000000, 0.01900000, 0.00020000, 0.07000000
5.00, 5.00, 5.00, 5.00, -0.687500, 4.375000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01800000, 0.00010000, 0.07000000, 0.01900000, 0.00020000, 0.07000000
5.00, 5.00, 5.00, 5.00, -0.687500, 4.375000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01800000, 0.00010000, 0.07000000, 0.01900000, 0.00020000, 0.07000000
5.00, 5.00, 5.00, 5.00, -0.687500, 4.375000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01800000, 0.00010000, 0.07000000, 0.01900000, 0.00020000, 0.07000000
5.00, 5.00, 5.00, 5.00, -0.687500, 4.375000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01800000, 0.00010000, 0.07000000, 0.01900000, 0.00020000, 0.07000000
5.00, 5.00, 5.00, 5.00, -0.687500, 4.375000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01800000, 0.00010000, 0.07000000, 0.01900000, 0.00020000, 0.07000000
5.00, 5.00, 5.00, 5.00, -0.687500, 4.375000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01800000, 0.00010000, 0.07000000, 0.01900000, 0.00020000, 0.07000000
5.00, 5.00, 5.00, 5.00, -0.687500, 4.375000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01800000, 0.00010000, 0.07000000, 0.01900000, 0.00020000, 5.00, 5.00, 5.00, 5.00, -17.562500, 20.750000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01600000, 0.00020000, 0.07000000
5.00, 5.00, 5.00, 5.00, -17.562500, 20.750000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01600000, 0.00020000, 0.07000000
5.00, 5.00, 5.00, 5.00, -17.562500, 20.750000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01600000, 0.00020000, 0.07000000
5.00, 5.00, 5.00, 5.00, -17.562500, 20.750000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01600000, 0.00020000, 0.07000000
5.00, 5.00, 5.00, 5.00, -17.562500, 20.750000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01600000, 0.00020000, 0.07000000
5.00, 5.00, 5.00, 5.00, -17.562500, 20.750000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01600000, 0.00020000, 0.07000000
5.00, 5.00, 5.00, 5.00, -17.562500, 20.750000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01600000, 0.00020000, 0.07000000
5.00, 5.00, 5.00, 5.00, -17.562500, 20.750000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01600000, 0.00020000, 0.07000000
5.00, 5.00, 5.00, 5.00, -17.562500, 20.750000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01600000, 0.00020000, 0.07000000
5.00, 5.00, 5.00, 5.00, -17.562500, 20.750000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01600000, 0.00020000, 0.07000000
5.00, 5.00, 5.00, 5.00, -17.562500, 20.750000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01600000, 0.00020000, 0.07000000
5.00, 5.00, 5.00, 5.00, -17.562500, 20.750000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01600000, 0.00020000, 0.07000000
5.00, 5.00, 5.00, 5.00, -17.562500, 20.750000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01600000, 0.00020000, 0.07000000
5.00, 5.00, 5.00, 5.00, -17.562500, 20.750000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01600000, 0.00020000, 0.07000000
5.00, 5.00, 5.00, 5.00, -17.562500, 20.750000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01600000, 0.00020000, 0.07000000
5.00, 5.00, 5.00, 5.00, -17.562500, 20.750000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01600000, 0.00020000, 0.07000000
5.00, 5.00, 5.00, 5.00, -17.562500, 20.750000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01600000, 0.00020000, 0.07000000
