Motor1, Motor2, Motor3, Motor4, Roll, Pitch, Input1, Input2, Input3, Input4, KPR, KIR, KDR, KPP, KIP, KDP
5.00, 5.00, 5.00, 5.00, -26.625000, -36.062500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.01480000, 0.00010000, 0.00000000
5.00, 5.00, 5.00, 5.00, -26.625000, -36.062500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.01480000, 0.00010000, 0.00000000
5.40, 5.40, 5.40, 5.40, -26.625000, -36.062500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.01480000, 0.00010000, 0.00000000
5.40, 5.40, 5.40, 5.40, -26.625000, -36.062500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.01480000, 0.00010000, 0.00000000
5.40, 5.40, 5.40, 5.40, -26.625000, -36.062500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.01480000, 0.00010000, 0.00000000
5.40, 5.40, 5.40, 5.40, -26.625000, -36.062500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.01480000, 0.00010000, 0.00000000
5.40, 5.40, 5.40, 5.40, -26.625000, -36.062500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.01480000, 0.00010000, 0.00000000
5.40, 5.40, 5.40, 5.40, -26.625000, -36.125000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.01480000, 0.00010000, 0.00000000
5.40, 5.40, 5.40, 5.40, -26.562500, -36.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.01480000, 0.00010000, 0.00000000
5.40, 5.40, 5.40, 5.40, -26.562500, -36.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.01480000, 0.00010000, 0.00000000
5.40, 5.40, 5.40, 5.40, -26.625000, -35.937500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.01480000, 0.00010000, 0.00000000
5.40, 5.40, 5.40, 5.40, -26.562500, -36.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.01480000, 0.00010000, 0.00000000
5.48, 5.52, 5.89, 5.87, -26.562500, -36.062500, 11.000000, 0.464956, 0.537399, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.01480000, 0.00010000, 0.00000000
5.48, 5.51, 5.89, 5.87, -26.562500, -36.062500, 11.000000, 0.471762, 0.542013, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.01480000, 0.00010000, 0.00000000
5.48, 5.51, 5.89, 5.87, -26.562500, -36.062500, 11.000000, 0.478673, 0.546697, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.01480000, 0.00010000, 0.00000000
5.48, 5.51, 5.90, 5.87, -26.562500, -36.062500, 11.000000, 0.485746, 0.551494, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.01480000, 0.00010000, 0.00000000
