Motor1, Motor2, Motor3, Motor4, Roll, Pitch, Input1, Input2, Input3, Input4, KPR, KIR, KDR, KPP, KIP, KDP
5.40, 5.40, 5.40, 5.40, 1.625000, 20.125000, 0.000000, 0.000000, 0.000000, 0.000000, 0.02000000, 0.00020000, 0.08000000, 0.02000000, 0.00030000, 0.08000000
5.40, 5.40, 5.40, 5.40, 1.750000, 20.312500, 0.000000, 0.000000, 0.000000, 0.000000, 0.02000000, 0.00020000, 0.08000000, 0.02000000, 0.00030000, 0.08000000
5.40, 5.40, 5.40, 5.40, 2.000000, 20.687500, 0.000000, 0.000000, 0.000000, 0.000000, 0.02000000, 0.00020000, 0.08000000, 0.02000000, 0.00030000, 0.08000000
5.40, 5.40, 5.40, 5.40, 2.250000, 21.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.02000000, 0.00020000, 0.08000000, 0.02000000, 0.00030000, 0.08000000
5.40, 5.40, 5.40, 5.40, 2.500000, 21.562500, 0.000000, 0.000000, 0.000000, 0.000000, 0.02000000, 0.00020000, 0.08000000, 0.02000000, 0.00030000, 0.08000000
5.40, 5.40, 5.40, 5.40, 3.187500, 22.125000, 0.000000, 0.000000, 0.000000, 0.000000, 0.02000000, 0.00020000, 0.08000000, 0.02000000, 0.00030000, 0.08000000
5.40, 5.40, 5.40, 5.40, 3.875000, 22.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.02000000, 0.00020000, 0.08000000, 0.02000000, 0.00030000, 0.08000000
5.40, 5.40, 5.40, 5.40, 4.312500, 22.312500, 0.000000, 0.000000, 0.000000, 0.000000, 0.02000000, 0.00020000, 0.08000000, 0.02000000, 0.00030000, 0.08000000
5.40, 5.40, 5.40, 5.40, 4.625000, 22.375000, 0.000000, 0.000000, 0.000000, 0.000000, 0.02000000, 0.00020000, 0.08000000, 0.02000000, 0.00030000, 0.08000000
5.40, 5.40, 5.40, 5.40, 4.812500, 22.375000, 0.000000, 0.000000, 0.000000, 0.000000, 0.02000000, 0.00020000, 0.08000000, 0.02000000, 0.00030000, 0.08000000
5.40, 5.40, 5.40, 5.40, 5.250000, 22.437500, 0.000000, 0.000000, 0.000000, 0.000000, 0.02000000, 0.00020000, 0.08000000, 0.02000000, 0.00030000, 0.08000000
5.40, 5.40, 5.40, 5.40, 5.625000, 22.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.02000000, 0.00020000, 0.08000000, 0.02000000, 0.00030000, 0.08000000
5.40, 5.40, 5.40, 5.40, 6.062500, 22.562500, 0.000000, 0.000000, 0.000000, 0.000000, 0.02000000, 0.00020000, 0.08000000, 0.02000000, 0.00030000, 0.08000000
5.87, 5.75, 5.52, 5.66, 6.312500, 22.625000, 11.000000, -0.127308, -0.458265, 0.000000, 0.02000000, 0.00020000, 0.08000000, 0.02000000, 0.00030000, 0.08000000
5.87, 5.75, 5.52, 5.65, 6.625000, 22.562500, 11.000000, -0.135148, -0.465618, 0.000000, 0.02000000, 0.00020000, 0.08000000, 0.02000000, 0.00030000, 0.08000000
5.87, 5.76, 5.51, 5.65, 6.687500, 22.562500, 11.000000, -0.138063, -0.474139, 0.000000, 0.02000000, 0.00020000, 0.08000000, 0.02000000, 0.00030000, 0.08000000
5.87, 5.76, 5.51, 5.65, 6.562500, 22.312500, 11.000000, -0.137221, -0.477543, 0.000000, 0.02000000, 0.00020000, 0.08000000, 0.02000000, 0.00030000, 0.08000000
5.87, 5.75, 5.51, 5.65, 6.250000, 22.125000, 11.000000, -0.132673, -0.482675, 0.000000, 0.02000000, 0.00020000, 0.08000000, 0.02000000, 0.00030000, 0.08000000
5.88, 5.75, 5.51, 5.66, 5.812500, 21.937500, 11.000000, -0.125433, -0.487253, 0.000000, 0.02000000, 0.00020000, 0.08000000, 0.02000000, 0.00030000, 0.08000000
5.88, 5.75, 5.50, 5.66, 5.500000, 21.812500, 11.000000, -0.120656, -0.493280, 0.000000, 0.02000000, 0.00020000, 0.08000000, 0.02000000, 0.00030000, 0.08000000
5.88, 5.75, 5.50, 5.66, 5.062500, 21.562500, 11.000000, -0.113204, -0.496288, 0.000000, 0.02000000, 0.00020000, 0.08000000, 0.02000000, 0.00030000, 0.08000000
5.88, 5.74, 5.50, 5.66, 4.625000, 21.187500, 11.000000, -0.105691, -0.496984, 0.000000, 0.02000000, 0.00020000, 0.08000000, 0.02000000, 0.00030000, 0.08000000
5.88, 5.74, 5.50, 5.67, 3.937500, 20.625000, 11.000000, -0.093021, -0.493621, 0.000000, 0.02000000, 0.00020000, 0.08000000, 0.02000000, 0.00030000, 0.08000000
5.88, 5.73, 5.51, 5.68, 2.875000, 20.000000, 11.000000, -0.072607, -0.488784, 0.000000, 0.02000000, 0.00020000, 0.08000000, 0.02000000, 0.00030000, 0.08000000
5.87, 5.72, 5.51, 5.69, 1.687500, 18.875000, 11.000000, -0.049441, -0.473915, 0.000000, 0.02000000, 0.00020000, 0.08000000, 0.02000000, 0.00030000, 0.08000000
5.86, 5.71, 5.52, 5.70, 0.312500, 17.500000, 11.000000, -0.022169, -0.453333, 0.000000, 0.02000000, 0.00020000, 0.08000000, 0.02000000, 0.00030000, 0.08000000
5.86, 5.70, 5.53, 5.71, -1.187500, 15.875000, 11.000000, 0.007956, -0.427324, 0.000000, 0.02000000, 0.00020000, 0.08000000, 0.02000000, 0.00030000, 0.08000000
5.46, 5.40, 5.91, 6.04, -2.500000, 14.625000, 11.000000, 1.034676, 0.592041, 0.000000, 0.02000000, 0.00020000, 0.08000000, 0.02000000, 0.00030000, 0.08000000
5.85, 5.69, 5.54, 5.72, -3.125000, 14.250000, 11.000000, 0.047913, -0.405939, 0.000000, 0.02000000, 0.00020000, 0.08000000, 0.02000000, 0.00030000, 0.08000000
5.85, 5.68, 5.54, 5.73, -3.625000, 13.937500, 11.000000, 0.058783, -0.405049, 0.000000, 0.02000000, 0.00020000, 0.08000000, 0.02000000, 0.00030000, 0.08000000
5.85, 5.68, 5.54, 5.73, -4.000000, 13.500000, 11.000000, 0.067242, -0.401434, 0.000000, 0.02000000, 0.00020000, 0.08000000, 0.02000000, 0.00030000, 0.08000000
