Motor1, Motor2, Motor3, Motor4, Roll, Pitch, Input1, Input2, Input3, Input4, KPR, KIR, KDR, KPP, KIP, KDP
5.00, 5.00, 5.00, 5.00, -18.250000, 17.437500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.01500000, 0.00009500, 0.00100000
5.00, 5.00, 5.00, 5.00, -18.250000, 17.437500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.01500000, 0.00009500, 0.00100000
5.00, 5.00, 5.00, 5.00, -18.250000, 17.437500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.01500000, 0.00009500, 0.00100000
5.00, 5.00, 5.00, 5.00, -18.250000, 17.437500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.01500000, 0.00009500, 0.00100000
5.00, 5.00, 5.00, 5.00, -18.250000, 17.437500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.01500000, 0.00009500, 0.00100000
5.00, 5.00, 5.00, 5.00, -18.250000, 17.437500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.01500000, 0.00009500, 0.00100000
5.00, 5.00, 5.00, 5.00, -18.250000, 17.437500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.01500000, 0.00009500, 0.00100000
5.00, 5.00, 5.00, 5.00, -18.250000, 17.437500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.01500000, 0.00009500, 0.00100000
5.00, 5.00, 5.00, 5.00, -18.250000, 17.437500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.01500000, 0.00009500, 0.00100000
5.00, 5.00, 5.00, 5.00, -18.250000, 17.437500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01730000, 0.00020000, 0.00000000, 0.01500000, 0.00009500, 0.00100000
