Motor1, Motor2, Motor3, Motor4, Roll, Pitch, Input1, Input2, Input3, Input4, KPR, KIR, KDR, KPP, KIP, KDP
5.40, 5.40, 5.40, 5.40, -28.187500, -35.750000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01600000, 0.00010000, 0.07000000, 0.01600000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, -28.250000, -35.750000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01600000, 0.00010000, 0.07000000, 0.01600000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, -28.250000, -35.750000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01600000, 0.00010000, 0.07000000, 0.01600000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, -28.250000, -35.750000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01600000, 0.00010000, 0.07000000, 0.01600000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, -28.125000, -35.875000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01600000, 0.00010000, 0.07000000, 0.01600000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, -28.125000, -35.875000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01600000, 0.00010000, 0.07000000, 0.01600000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, -28.125000, -35.875000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01600000, 0.00010000, 0.07000000, 0.01600000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, -28.187500, -35.875000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01600000, 0.00010000, 0.07000000, 0.01600000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, -28.125000, -35.937500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01600000, 0.00010000, 0.07000000, 0.01600000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, -28.312500, -35.875000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01600000, 0.00010000, 0.07000000, 0.01600000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, -28.375000, -35.875000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01600000, 0.00010000, 0.07000000, 0.01600000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, -28.375000, -35.875000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01600000, 0.00010000, 0.07000000, 0.01600000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, -28.375000, -35.875000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01600000, 0.00010000, 0.07000000, 0.01600000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, -28.375000, -35.875000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01600000, 0.00010000, 0.07000000, 0.01600000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, -28.437500, -35.875000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01600000, 0.00010000, 0.07000000, 0.01600000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, -28.437500, -35.875000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01600000, 0.00010000, 0.07000000, 0.01600000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, -28.437500, -35.875000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01600000, 0.00010000, 0.07000000, 0.01600000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, -28.437500, -35.875000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01600000, 0.00010000, 0.07000000, 0.01600000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, -28.437500, -35.875000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01600000, 0.00010000, 0.07000000, 0.01600000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, -28.437500, -35.875000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01600000, 0.00010000, 0.07000000, 0.01600000, 0.00010000, 0.07000000
5.47, 5.52, 5.90, 5.86, -28.437500, -35.875000, 11.000000, 0.456678, 0.576118, 0.000000, 0.01600000, 0.00010000, 0.07000000, 0.01600000, 0.00010000, 0.07000000
5.47, 5.52, 5.91, 5.87, -28.437500, -35.812500, 11.000000, 0.460258, 0.579639, 0.000000, 0.01600000, 0.00010000, 0.07000000, 0.01600000, 0.00010000, 0.07000000
5.46, 5.52, 5.91, 5.87, -28.312500, -35.687500, 11.000000, 0.461945, 0.582288, 0.000000, 0.01600000, 0.00010000, 0.07000000, 0.01600000, 0.00010000, 0.07000000
5.47, 5.52, 5.90, 5.87, -28.312500, -35.187500, 11.000000, 0.465571, 0.578822, 0.000000, 0.01600000, 0.00010000, 0.07000000, 0.01600000, 0.00010000, 0.07000000
5.47, 5.51, 5.90, 5.87, -28.437500, -34.250000, 11.000000, 0.471143, 0.568257, 0.000000, 0.01600000, 0.00010000, 0.07000000, 0.01600000, 0.00010000, 0.07000000
5.82, 5.51, 5.58, 5.87, -28.562500, -33.312500, 11.000000, 0.476853, -0.317351, 0.000000, 0.01600000, 0.00010000, 0.07000000, 0.01600000, 0.00010000, 0.07000000
5.48, 5.51, 5.89, 5.87, -28.062500, -32.125000, 11.000000, 0.472398, 0.542734, 0.000000, 0.01600000, 0.00010000, 0.07000000, 0.01600000, 0.00010000, 0.07000000
5.50, 5.52, 5.88, 5.86, -26.562500, -29.437500, 11.000000, 0.451976, 0.503696, 0.000000, 0.01600000, 0.00010000, 0.07000000, 0.01600000, 0.00010000, 0.07000000
