Motor1, Motor2, Motor3, Motor4, Roll, Pitch, Input1, Input2, Input3, Input4, KPR, KIR, KDR, KPP, KIP, KDP
5.00, 5.00, 5.00, 5.00, 3.125000, -0.187500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.00, 5.00, 5.00, 5.00, 3.125000, -0.187500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.00, 5.00, 5.00, 5.00, 3.125000, -0.187500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.00, 5.00, 5.00, 5.00, 3.125000, -0.187500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.00, 5.00, 5.00, 5.00, 3.125000, -0.187500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.00, 5.00, 5.00, 5.00, 3.125000, -0.187500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.00, 5.00, 5.00, 5.00, 3.125000, -0.187500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.00, 5.00, 5.00, 5.00, 3.125000, -0.187500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.00, 5.00, 5.00, 5.00, 3.125000, -0.187500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, 3.125000, -0.187500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, 3.125000, -0.187500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, 3.125000, -0.187500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, 3.125000, -0.187500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, 3.125000, -0.125000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, 3.125000, -0.062500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, 3.125000, -0.062500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, 3.125000, -0.062500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, 3.187500, 0.187500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, 3.250000, 0.375000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, 3.375000, 0.625000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, 3.437500, 1.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, 3.875000, 2.312500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, 4.562500, 3.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, 5.625000, 5.625000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, 7.187500, 9.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, 9.812500, 14.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, 14.000000, 22.062500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, 19.812500, 28.375000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, 25.687500, 27.187500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, 30.687500, 26.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, 31.437500, 24.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, 31.500000, 24.937500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, 30.937500, 25.562500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, 30.687500, 25.687500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, 30.750000, 25.625000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, 30.812500, 25.625000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, 30.937500, 25.562500, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, 31.000000, 25.625000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.40, 5.40, 5.40, 5.40, 31.000000, 25.625000, 0.000000, 0.000000, 0.000000, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.84, 5.87, 5.55, 5.52, 31.000000, 25.625000, 11.000000, -0.467965, -0.386918, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.84, 5.87, 5.55, 5.52, 30.625000, 25.562500, 11.000000, -0.466247, -0.389233, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.84, 5.87, 5.55, 5.52, 30.062500, 25.562500, 11.000000, -0.461660, -0.392477, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.85, 5.54, 5.55, 5.85, 29.187500, 25.812500, 11.000000, 0.422611, -0.399568, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.85, 5.86, 5.54, 5.53, 28.250000, 26.000000, 11.000000, -0.441909, -0.405618, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.85, 5.85, 5.54, 5.54, 26.750000, 26.125000, 11.000000, -0.422940, -0.410886, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.85, 5.85, 5.54, 5.55, 25.000000, 26.312500, 11.000000, -0.399909, -0.417009, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.85, 5.84, 5.54, 5.55, 23.500000, 26.187500, 11.000000, -0.380493, -0.418521, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.85, 5.84, 5.54, 5.56, 22.937500, 25.937500, 11.000000, -0.374965, -0.418056, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.85, 5.84, 5.54, 5.55, 23.375000, 25.812500, 11.000000, -0.384469, -0.419466, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.85, 5.84, 5.53, 5.55, 23.812500, 26.000000, 11.000000, -0.394078, -0.425620, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.86, 5.85, 5.53, 5.55, 24.000000, 26.187500, 11.000000, -0.399816, -0.431620, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.86, 5.85, 5.53, 5.55, 23.625000, 26.000000, 11.000000, -0.397314, -0.432225, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
5.86, 5.84, 5.53, 5.55, 22.875000, 25.812500, 11.000000, -0.388947, -0.432622, 0.000000, 0.01500000, 0.00010000, 0.07000000, 0.01500000, 0.00010000, 0.07000000
